2026-09-06T14:53:32.7515415+08:00 pid=67744 tid=12 left-down x=2332 y=460 wordForeground=False
2026-09-06T14:53:35.0961995+08:00 pid=67744 tid=12 left-down x=2492 y=460 wordForeground=False
2026-09-06T14:55:35.4351562+08:00 pid=67744 tid=12 left-down x=2024 y=1187 wordForeground=True
2026-09-06T14:59:40.0016763+08:00 pid=67744 tid=12 left-down x=1776 y=1270 wordForeground=False
2026-09-06T15:07:01.4209242+08:00 pid=67744 tid=12 left-down x=1140 y=1245 wordForeground=True
2026-09-06T15:07:01.8949799+08:00 pid=67744 tid=12 left-down x=1140 y=1245 wordForeground=True
2026-09-06T15:07:01.9039786+08:00 pid=67744 tid=12 double-click elapsedMs=473.956 withinX=True withinY=True nativeOleTarget=False suppressSecondDown=False dispatchCallback=True
2026-09-06T15:07:02.0157563+08:00 pid=67744 tid=19 callback-begin interceptedNativeOle=False x=1140 y=1245
2026-09-06T15:07:02.0167538+08:00 pid=67744 tid=19 addin-callback-received interceptedNativeOle=False x=1140 y=1245
2026-09-06T15:07:02.0177562+08:00 pid=67744 tid=19 callback-end
2026-09-06T15:07:02.0287560+08:00 pid=67744 tid=1 addin-coordinate-selection formulaId=<null> objectMode=<null>
2026-09-06T15:09:35.3732135+08:00 pid=67744 tid=12 left-down x=1776 y=1270 wordForeground=False
2026-09-06T15:21:10.5558753+08:00 pid=67744 tid=12 left-down x=1838 y=688 wordForeground=True
2026-09-06T15:21:34.9903255+08:00 pid=67744 tid=12 left-down x=1382 y=1120 wordForeground=False
2026-09-06T15:21:37.8077046+08:00 pid=67744 tid=12 left-down x=2332 y=460 wordForeground=False
2026-09-06T15:21:40.1583441+08:00 pid=67744 tid=12 left-down x=2492 y=460 wordForeground=False
2026-09-06T15:22:32.4265110+08:00 pid=67744 tid=12 left-down x=2024 y=1187 wordForeground=True
2026-09-06T15:26:36.5988533+08:00 pid=67744 tid=12 left-down x=1140 y=1088 wordForeground=True
2026-09-06T15:26:37.2240586+08:00 pid=67744 tid=12 left-down x=1140 y=1088 wordForeground=True
2026-09-06T15:27:09.1075779+08:00 pid=67744 tid=12 left-down x=1838 y=688 wordForeground=True
2026-09-06T15:27:51.5861763+08:00 pid=67744 tid=12 left-down x=1382 y=1120 wordForeground=False
2026-09-06T15:27:54.4985327+08:00 pid=67744 tid=12 left-down x=2332 y=460 wordForeground=False
2026-09-06T15:27:56.8654113+08:00 pid=67744 tid=12 left-down x=2492 y=460 wordForeground=False
2026-09-06T15:29:57.1174035+08:00 pid=67744 tid=12 left-down x=1776 y=1270 wordForeground=False
2026-09-06T15:30:43.1657212+08:00 pid=67744 tid=12 left-down x=2024 y=1187 wordForeground=True
2026-09-06T15:31:48.4643739+08:00 pid=67744 tid=12 left-down x=698 y=1234 wordForeground=False
2026-09-06T15:31:52.2194006+08:00 pid=67744 tid=12 left-down x=1685 y=1610 wordForeground=True
2026-09-06T15:33:03.3530181+08:00 pid=67744 tid=12 left-down x=1838 y=860 wordForeground=True
2026-09-06T15:33:48.3594240+08:00 pid=67744 tid=12 left-down x=219 y=1479 wordForeground=False
2026-09-06T15:33:54.3538691+08:00 pid=67744 tid=12 left-down x=1323 y=1598 wordForeground=False
2026-09-06T15:35:00.4478984+08:00 pid=67744 tid=12 left-down x=1170 y=1088 wordForeground=True
2026-09-06T15:35:01.1159974+08:00 pid=67744 tid=12 left-down x=1170 y=1088 wordForeground=True
2026-09-06T15:35:43.3456295+08:00 pid=67744 tid=12 left-down x=837 y=1166 wordForeground=False
2026-09-06T15:36:00.1220533+08:00 pid=67744 tid=12 left-down x=2078 y=1366 wordForeground=True
2026-09-06T15:37:05.3055870+08:00 pid=67744 tid=12 left-down x=1776 y=1270 wordForeground=False
2026-09-06T15:46:37.0640445+08:00 pid=67744 tid=12 left-down x=1838 y=688 wordForeground=True
2026-09-06T15:46:45.7393170+08:00 pid=67744 tid=12 left-down x=1382 y=1120 wordForeground=False
2026-09-06T15:46:48.8607452+08:00 pid=67744 tid=12 left-down x=2332 y=460 wordForeground=False
2026-09-06T15:46:50.9651980+08:00 pid=67744 tid=12 left-down x=2492 y=460 wordForeground=False
2026-09-06T15:49:12.8288320+08:00 pid=67744 tid=12 left-down x=1776 y=1270 wordForeground=False
2026-09-06T15:50:00.7980786+08:00 pid=67744 tid=12 left-down x=2024 y=1187 wordForeground=True
2026-09-06T15:50:09.8655207+08:00 pid=67744 tid=12 left-down x=1838 y=860 wordForeground=True
2026-09-06T15:54:09.3157591+08:00 pid=67744 tid=12 left-down x=1170 y=1118 wordForeground=True
2026-09-06T15:54:09.9296355+08:00 pid=67744 tid=12 left-down x=1170 y=1118 wordForeground=True
2026-09-06T15:54:20.4269269+08:00 pid=67744 tid=12 left-down x=1776 y=1270 wordForeground=False
2026-09-06T15:55:19.1705385+08:00 pid=67744 tid=12 left-down x=758 y=1250 wordForeground=False
2026-09-06T15:55:45.0733739+08:00 pid=67744 tid=12 left-down x=820 y=1253 wordForeground=False
2026-09-06T15:55:56.7511409+08:00 pid=67744 tid=12 left-down x=2051 y=1093 wordForeground=True
2026-09-06T15:57:04.8108455+08:00 pid=67744 tid=12 left-down x=763 y=1216 wordForeground=False
2026-09-06T15:57:06.9533642+08:00 pid=67744 tid=12 left-down x=2028 y=1110 wordForeground=True
2026-09-06T15:57:09.9728242+08:00 pid=67744 tid=12 left-down x=770 y=1090 wordForeground=False
2026-09-06T15:57:11.6731238+08:00 pid=67744 tid=12 left-down x=618 y=1046 wordForeground=False
2026-09-06T15:57:15.7811926+08:00 pid=67744 tid=12 left-down x=1892 y=402 wordForeground=False
2026-09-06T15:57:20.6517651+08:00 pid=67744 tid=12 left-down x=1965 y=1091 wordForeground=True
2026-09-06T15:57:24.1864124+08:00 pid=67744 tid=12 left-down x=717 y=1085 wordForeground=False
2026-09-06T15:57:26.3745309+08:00 pid=67744 tid=12 left-down x=620 y=1012 wordForeground=False
