2026-09-06T15:57:28.6656853+08:00 pid=74892 tid=12 left-down x=1896 y=398 wordForeground=False
2026-09-06T15:57:33.3667165+08:00 pid=74892 tid=12 left-down x=1979 y=1077 wordForeground=True
2026-09-06T16:04:18.9974127+08:00 pid=74892 tid=12 left-down x=153 y=1448 wordForeground=False
2026-09-06T16:04:22.2102195+08:00 pid=74892 tid=12 left-down x=963 y=1227 wordForeground=False
2026-09-06T16:05:04.8096457+08:00 pid=74892 tid=12 left-down x=1838 y=688 wordForeground=True
2026-09-06T16:05:13.5452432+08:00 pid=74892 tid=12 left-down x=1382 y=1120 wordForeground=False
2026-09-06T16:05:16.3884795+08:00 pid=74892 tid=12 left-down x=2332 y=460 wordForeground=False
2026-09-06T16:05:18.8969276+08:00 pid=74892 tid=12 left-down x=2492 y=460 wordForeground=False
2026-09-06T16:06:51.8879240+08:00 pid=74892 tid=12 left-down x=1776 y=1270 wordForeground=False
2026-09-06T16:07:59.5930689+08:00 pid=74892 tid=12 left-down x=2024 y=1187 wordForeground=True
2026-09-06T16:08:20.4098254+08:00 pid=74892 tid=12 left-down x=1838 y=860 wordForeground=True
2026-09-06T16:12:07.6410728+08:00 pid=74892 tid=12 left-down x=1776 y=1270 wordForeground=False
2026-09-06T16:15:15.3704525+08:00 pid=74892 tid=12 left-down x=772 y=1266 wordForeground=False
2026-09-06T16:15:24.3976924+08:00 pid=74892 tid=12 left-down x=1844 y=1725 wordForeground=True
2026-09-06T16:18:11.1285275+08:00 pid=74892 tid=12 left-down x=1776 y=1270 wordForeground=False
2026-09-06T16:26:33.3361145+08:00 pid=74892 tid=12 left-down x=1382 y=1120 wordForeground=False
2026-09-06T16:26:36.0946283+08:00 pid=74892 tid=12 left-down x=2332 y=460 wordForeground=False
2026-09-06T16:26:38.3645212+08:00 pid=74892 tid=12 left-down x=2492 y=460 wordForeground=False
2026-09-06T16:27:40.6246511+08:00 pid=74892 tid=12 left-down x=713 y=1227 wordForeground=False
2026-09-06T16:27:46.5072196+08:00 pid=74892 tid=12 left-down x=1874 y=1436 wordForeground=True
2026-09-06T16:27:57.0369684+08:00 pid=74892 tid=12 left-down x=700 y=1238 wordForeground=False
2026-09-06T16:28:02.2191050+08:00 pid=74892 tid=12 left-down x=1742 y=1814 wordForeground=True
2026-09-06T16:28:19.5195480+08:00 pid=74892 tid=12 left-down x=2024 y=1187 wordForeground=True
2026-09-06T16:29:39.4240052+08:00 pid=74892 tid=12 left-down x=1172 y=1836 wordForeground=True
2026-09-06T16:29:40.0891517+08:00 pid=74892 tid=12 left-down x=1172 y=1836 wordForeground=True
2026-09-06T16:30:24.1840706+08:00 pid=74892 tid=12 left-down x=739 y=1231 wordForeground=False
2026-09-06T16:30:35.3971277+08:00 pid=74892 tid=12 left-down x=1776 y=1270 wordForeground=False
2026-09-06T16:40:49.8135035+08:00 pid=74892 tid=12 left-down x=1382 y=1120 wordForeground=False
2026-09-06T16:40:52.5667405+08:00 pid=74892 tid=12 left-down x=2332 y=460 wordForeground=False
2026-09-06T16:40:54.9121924+08:00 pid=74892 tid=12 left-down x=2492 y=460 wordForeground=False
2026-09-06T16:43:15.2233100+08:00 pid=74892 tid=12 left-down x=1776 y=1270 wordForeground=False
2026-09-06T16:44:45.9339346+08:00 pid=74892 tid=12 left-down x=2024 y=1187 wordForeground=True
2026-09-06T16:45:50.8523524+08:00 pid=74892 tid=12 left-down x=691 y=1252 wordForeground=False
2026-09-06T16:46:00.5761655+08:00 pid=74892 tid=12 left-down x=191 y=1485 wordForeground=False
2026-09-06T16:46:03.4131330+08:00 pid=74892 tid=12 left-down x=2508 y=1121 wordForeground=True
2026-09-06T16:47:31.3478170+08:00 pid=74892 tid=12 left-down x=776 y=1255 wordForeground=False
2026-09-06T16:47:44.3781731+08:00 pid=74892 tid=12 left-down x=710 y=994 wordForeground=False
2026-09-06T16:47:46.3787936+08:00 pid=74892 tid=12 left-down x=699 y=1023 wordForeground=False
2026-09-06T16:47:48.0278167+08:00 pid=74892 tid=12 left-down x=743 y=1042 wordForeground=False
2026-09-06T16:47:50.4392982+08:00 pid=74892 tid=12 left-down x=764 y=1021 wordForeground=False
2026-09-06T16:47:54.5482481+08:00 pid=74892 tid=12 left-down x=831 y=1077 wordForeground=False
2026-09-06T16:48:04.8589925+08:00 pid=74892 tid=12 left-down x=1046 y=1329 wordForeground=False
2026-09-06T16:48:38.8938562+08:00 pid=74892 tid=12 left-down x=271 y=1440 wordForeground=False
2026-09-06T16:48:40.7465855+08:00 pid=74892 tid=12 left-down x=253 y=1462 wordForeground=False
2026-09-06T16:48:44.1070221+08:00 pid=74892 tid=12 left-down x=270 y=1333 wordForeground=False
2026-09-06T16:48:46.8942891+08:00 pid=74892 tid=12 left-down x=196 y=705 wordForeground=False
2026-09-06T16:48:50.8248098+08:00 pid=74892 tid=12 left-down x=135 y=384 wordForeground=False
2026-09-06T16:58:18.8713729+08:00 pid=74892 tid=12 left-down x=1382 y=1120 wordForeground=False
2026-09-06T16:58:21.8516338+08:00 pid=74892 tid=12 left-down x=2332 y=460 wordForeground=False
2026-09-06T16:58:24.2261216+08:00 pid=74892 tid=12 left-down x=2492 y=460 wordForeground=False
2026-09-06T16:59:23.9191518+08:00 pid=74892 tid=12 left-down x=1776 y=1270 wordForeground=False
2026-09-06T17:00:18.4001933+08:00 pid=74892 tid=12 left-down x=2024 y=1187 wordForeground=True
2026-09-06T17:03:54.5399111+08:00 pid=74892 tid=12 left-down x=711 y=1181 wordForeground=False
2026-09-06T17:04:02.3047004+08:00 pid=74892 tid=12 left-down x=2039 y=1034 wordForeground=True
2026-09-06T17:04:11.8377281+08:00 pid=74892 tid=12 left-down x=759 y=1233 wordForeground=False
2026-09-06T17:06:40.8360226+08:00 pid=74892 tid=12 left-down x=672 y=1256 wordForeground=False
2026-09-06T17:06:49.6835097+08:00 pid=74892 tid=12 left-down x=250 y=1460 wordForeground=False
2026-09-06T17:06:52.6742716+08:00 pid=74892 tid=12 left-down x=902 y=1143 wordForeground=False
2026-09-06T17:08:06.9825944+08:00 pid=74892 tid=12 left-down x=1382 y=1120 wordForeground=False
2026-09-06T17:08:09.7987959+08:00 pid=74892 tid=12 left-down x=2332 y=460 wordForeground=False
2026-09-06T17:08:12.2259720+08:00 pid=74892 tid=12 left-down x=2492 y=460 wordForeground=False
2026-09-06T17:08:27.7446525+08:00 pid=74892 tid=12 left-down x=1776 y=1270 wordForeground=False
2026-09-06T17:08:40.6995483+08:00 pid=74892 tid=12 left-down x=2024 y=1187 wordForeground=True
2026-09-06T17:09:35.8352372+08:00 pid=74892 tid=12 left-down x=841 y=1058 wordForeground=False
2026-09-06T17:10:29.8879972+08:00 pid=74892 tid=12 left-down x=1945 y=1414 wordForeground=True
2026-09-06T17:10:33.8100157+08:00 pid=74892 tid=12 left-down x=782 y=1229 wordForeground=False
2026-09-06T17:10:37.3355729+08:00 pid=74892 tid=12 left-down x=720 y=1078 wordForeground=False
2026-09-06T17:10:40.4237196+08:00 pid=74892 tid=12 left-down x=607 y=974 wordForeground=False
2026-09-06T17:10:43.9704523+08:00 pid=74892 tid=12 left-down x=1871 y=407 wordForeground=False
2026-09-06T17:10:48.0689789+08:00 pid=74892 tid=12 left-down x=2301 y=1453 wordForeground=True
2026-09-06T17:11:36.5593518+08:00 pid=74892 tid=12 left-down x=1776 y=1270 wordForeground=False
2026-09-06T17:13:18.7574693+08:00 pid=74892 tid=12 left-down x=837 y=1224 wordForeground=False
2026-09-06T17:14:15.1996431+08:00 pid=74892 tid=12 left-down x=1838 y=688 wordForeground=True
