2026-09-06T17:36:20.9605287+08:00 pid=85192 [perf] ConfigureNumbered.native-post-table-spacing: +155ms (1381ms)
2026-09-06T17:36:21.1522743+08:00 pid=85192 [perf] ConfigureNumbered.native-wrap-identity: +192ms (1573ms)
2026-09-06T17:36:21.4039309+08:00 pid=85192 [perf] ConfigureNumbered.native-resolve-display: +5ms (5ms)
2026-09-06T17:36:21.4464792+08:00 pid=85192 [perf] ConfigureNumbered.native-clear-artifacts: +42ms (47ms)
2026-09-06T17:36:21.6576593+08:00 pid=85192 [perf] ConfigureNumbered.native-measure-display: +212ms (259ms)
2026-09-06T17:36:21.7183409+08:00 pid=85192 [perf] ConfigureNumbered.native-ensure-table: +60ms (319ms)
2026-09-06T17:36:21.7223787+08:00 pid=85192 [perf] ConfigureNumbered.native-resolve-table-formula: +5ms (324ms)
2026-09-06T17:36:21.7233797+08:00 pid=85192 [perf] ConfigureNumbered.native-height-repair: +0ms (324ms)
2026-09-06T17:36:21.9571697+08:00 pid=85192 [perf] ConfigureNumbered.native-geometry: +235ms (559ms)
2026-09-06T17:36:21.9581686+08:00 pid=85192 [perf] ConfigureNumbered.native-1x3-table: +0ms (559ms)
2026-09-06T17:36:21.9581686+08:00 pid=85192 [perf] ConfigureNumbered.direct-number-plan: +1ms (560ms)
2026-09-06T17:36:22.6511360+08:00 pid=85192 [perf] ConfigureNumbered.direct-visible-seq: +692ms (1252ms)
2026-09-06T17:36:22.8058939+08:00 pid=85192 [perf] ConfigureNumbered.native-post-table-spacing: +155ms (1407ms)
2026-09-06T17:36:23.0017578+08:00 pid=85192 [perf] ConfigureNumbered.native-wrap-identity: +196ms (1603ms)
2026-09-06T17:36:23.2646248+08:00 pid=85192 [perf] ConfigureNumbered.native-resolve-display: +5ms (5ms)
2026-09-06T17:36:23.3116232+08:00 pid=85192 [perf] ConfigureNumbered.native-clear-artifacts: +47ms (52ms)
2026-09-06T17:36:23.5140250+08:00 pid=85192 [perf] ConfigureNumbered.native-measure-display: +202ms (254ms)
2026-09-06T17:36:23.5730272+08:00 pid=85192 [perf] ConfigureNumbered.native-ensure-table: +59ms (313ms)
2026-09-06T17:36:23.5780251+08:00 pid=85192 [perf] ConfigureNumbered.native-resolve-table-formula: +5ms (318ms)
2026-09-06T17:36:23.5780251+08:00 pid=85192 [perf] ConfigureNumbered.native-height-repair: +1ms (319ms)
2026-09-06T17:36:23.8076585+08:00 pid=85192 [perf] ConfigureNumbered.native-geometry: +229ms (548ms)
2026-09-06T17:36:23.8076585+08:00 pid=85192 [perf] ConfigureNumbered.native-1x3-table: +0ms (548ms)
2026-09-06T17:36:23.8096602+08:00 pid=85192 [perf] ConfigureNumbered.direct-number-plan: +2ms (550ms)
2026-09-06T17:36:24.4819537+08:00 pid=85192 [perf] ConfigureNumbered.direct-visible-seq: +672ms (1222ms)
2026-09-06T17:36:24.6555815+08:00 pid=85192 [perf] ConfigureNumbered.native-wrap-identity: +174ms (1396ms)
2026-09-06T17:36:24.6565800+08:00 pid=85192 [perf] Reconcile.configure-omml-formulas: +8811ms (12914ms)
2026-09-06T17:36:24.6585816+08:00 pid=85192 [perf] Reconcile.number-format-preference: +2ms (12916ms)
2026-09-06T17:36:24.6685808+08:00 pid=85192 [perf] Reconcile.remove-orphan-artifacts: +10ms (12926ms)
2026-09-06T17:36:24.6730817+08:00 pid=85192 [perf] Reconcile.rebuild-number-bookmarks-1: +4ms (12930ms)
2026-09-06T17:36:25.1964426+08:00 pid=85192 [perf] Reconcile.update-native-sequences: +524ms (13454ms)
2026-09-06T17:36:25.1994430+08:00 pid=85192 [perf] Reconcile.rebuild-number-bookmarks-2: +3ms (13457ms)
2026-09-06T17:36:25.2314454+08:00 pid=85192 [perf] Reconcile.update-main-story-fields: +32ms (13489ms)
2026-09-06T17:36:25.2314454+08:00 pid=85192 [perf] Reconcile.update-inline-number-fields: +0ms (13489ms)
