2026-09-06T10:40:12.0071497+08:00 pid=27256 tid=12 left-down x=843 y=1255 wordForeground=False
2026-09-06T10:40:17.7831101+08:00 pid=27256 tid=12 left-down x=2308 y=1243 wordForeground=True
2026-09-06T10:40:18.8678880+08:00 pid=27256 tid=12 left-down x=2215 y=1257 wordForeground=True
2026-09-06T10:42:03.2078244+08:00 pid=27256 tid=12 left-down x=1190 y=747 wordForeground=False
2026-09-06T10:42:17.4469188+08:00 pid=27256 tid=12 left-down x=2024 y=1163 wordForeground=True
2026-09-06T10:44:29.7447347+08:00 pid=27256 tid=12 left-down x=1190 y=747 wordForeground=False
2026-09-06T10:44:43.9152951+08:00 pid=27256 tid=12 left-down x=2024 y=1163 wordForeground=True
2026-09-06T10:48:05.5645790+08:00 pid=27256 tid=12 left-down x=791 y=1268 wordForeground=False
2026-09-06T10:48:11.1047326+08:00 pid=27256 tid=12 left-down x=2071 y=1230 wordForeground=True
2026-09-06T10:48:32.3683688+08:00 pid=27256 tid=12 left-down x=111 y=1474 wordForeground=False
2026-09-06T10:48:48.0075227+08:00 pid=27256 tid=12 left-down x=2025 y=1235 wordForeground=True
2026-09-06T10:48:49.0513571+08:00 pid=27256 tid=12 left-down x=1893 y=1130 wordForeground=True
2026-09-06T10:48:49.8017298+08:00 pid=27256 tid=12 left-down x=1897 y=1126 wordForeground=True
2026-09-06T10:48:50.2390556+08:00 pid=27256 tid=12 left-down x=1897 y=1126 wordForeground=True
2026-09-06T10:48:50.2390556+08:00 pid=27256 tid=12 double-click elapsedMs=437.725 withinX=True withinY=True nativeOleTarget=False suppressSecondDown=False dispatchCallback=True
2026-09-06T10:48:50.3351953+08:00 pid=27256 tid=13 callback-begin interceptedNativeOle=False x=1897 y=1126
2026-09-06T10:48:50.3351953+08:00 pid=27256 tid=13 addin-callback-received interceptedNativeOle=False x=1897 y=1126
2026-09-06T10:48:50.3351953+08:00 pid=27256 tid=13 callback-end
2026-09-06T10:48:50.3371964+08:00 pid=27256 tid=1 addin-coordinate-selection formulaId=<null> objectMode=<null>
2026-09-06T10:48:54.1425762+08:00 pid=27256 tid=12 left-down x=1156 y=742 wordForeground=False
2026-09-06T10:48:55.7565460+08:00 pid=27256 tid=12 left-down x=2609 y=687 wordForeground=False
2026-09-06T10:48:57.4065000+08:00 pid=27256 tid=12 left-down x=1819 y=1111 wordForeground=True
2026-09-06T10:48:57.8943182+08:00 pid=27256 tid=12 left-down x=1819 y=1111 wordForeground=True
2026-09-06T10:48:57.8943182+08:00 pid=27256 tid=12 double-click elapsedMs=487.167 withinX=True withinY=True nativeOleTarget=False suppressSecondDown=False dispatchCallback=True
2026-09-06T10:48:57.9900484+08:00 pid=27256 tid=13 callback-begin interceptedNativeOle=False x=1819 y=1111
2026-09-06T10:48:57.9900484+08:00 pid=27256 tid=13 addin-callback-received interceptedNativeOle=False x=1819 y=1111
2026-09-06T10:48:57.9910553+08:00 pid=27256 tid=13 callback-end
2026-09-06T10:48:57.9910553+08:00 pid=27256 tid=1 addin-coordinate-selection formulaId=<null> objectMode=<null>
2026-09-06T10:49:00.2895967+08:00 pid=27256 tid=12 left-down x=1153 y=749 wordForeground=True
2026-09-06T10:49:01.6483589+08:00 pid=27256 tid=12 left-down x=1173 y=746 wordForeground=False
2026-09-06T10:49:02.9766617+08:00 pid=27256 tid=12 left-down x=1173 y=746 wordForeground=False
2026-09-06T10:49:04.6859114+08:00 pid=27256 tid=12 left-down x=2602 y=698 wordForeground=False
2026-09-06T10:49:06.2701928+08:00 pid=27256 tid=12 left-down x=1483 y=1251 wordForeground=True
2026-09-06T10:49:08.6233748+08:00 pid=27256 tid=12 left-down x=1883 y=1126 wordForeground=True
2026-09-06T10:49:09.6995360+08:00 pid=27256 tid=12 left-down x=1243 y=1261 wordForeground=True
2026-09-06T10:49:14.9608269+08:00 pid=27256 tid=12 left-down x=883 y=1241 wordForeground=False
2026-09-06T10:49:17.3581921+08:00 pid=27256 tid=12 left-down x=2108 y=1267 wordForeground=True
2026-09-06T10:49:19.6562089+08:00 pid=27256 tid=12 left-down x=1773 y=689 wordForeground=True
2026-09-06T10:49:21.3906573+08:00 pid=27256 tid=12 left-down x=2148 y=1488 wordForeground=True
2026-09-06T10:49:24.1397427+08:00 pid=27256 tid=12 left-down x=1764 y=686 wordForeground=True
2026-09-06T10:49:26.4430655+08:00 pid=27256 tid=12 left-down x=1903 y=1084 wordForeground=True
2026-09-06T10:49:28.1993186+08:00 pid=27256 tid=12 left-down x=2182 y=1500 wordForeground=True
2026-09-06T10:49:29.5410146+08:00 pid=27256 tid=12 left-down x=2182 y=1500 wordForeground=True
2026-09-06T10:49:32.5331880+08:00 pid=27256 tid=12 left-down x=1852 y=1134 wordForeground=True
2026-09-06T10:49:34.9944871+08:00 pid=27256 tid=12 left-down x=1270 y=663 wordForeground=True
2026-09-06T10:49:37.6138071+08:00 pid=27256 tid=12 left-down x=1252 y=659 wordForeground=True
2026-09-06T10:49:39.6298231+08:00 pid=27256 tid=12 left-down x=1352 y=2123 wordForeground=False
2026-09-06T10:49:40.5921478+08:00 pid=27256 tid=12 left-down x=1440 y=2033 wordForeground=False
2026-09-06T10:49:43.5342792+08:00 pid=27256 tid=12 left-down x=2607 y=696 wordForeground=False
2026-09-06T10:49:45.0197044+08:00 pid=27256 tid=12 left-down x=1324 y=1255 wordForeground=True
2026-09-06T10:49:47.0767807+08:00 pid=27256 tid=12 left-down x=727 y=1092 wordForeground=False
2026-09-06T10:49:48.4065193+08:00 pid=27256 tid=12 left-down x=682 y=1050 wordForeground=False
2026-09-06T10:49:50.4385199+08:00 pid=27256 tid=12 left-down x=1899 y=397 wordForeground=False
2026-09-06T10:49:52.3877826+08:00 pid=27256 tid=12 left-down x=2093 y=1262 wordForeground=True
2026-09-06T10:50:39.3200516+08:00 pid=27256 tid=12 left-down x=1190 y=747 wordForeground=False
2026-09-06T10:50:53.3445144+08:00 pid=27256 tid=12 left-down x=2024 y=1163 wordForeground=True
2026-09-06T10:51:40.8913616+08:00 pid=27256 tid=12 left-down x=779 y=1223 wordForeground=False
2026-09-06T10:51:49.7801205+08:00 pid=27256 tid=12 left-down x=2076 y=1278 wordForeground=True
2026-09-06T10:52:36.0447826+08:00 pid=27256 tid=12 left-down x=1190 y=747 wordForeground=False
2026-09-06T10:52:50.1959316+08:00 pid=27256 tid=12 left-down x=2024 y=1163 wordForeground=True
2026-09-06T10:54:55.8813106+08:00 pid=27256 tid=12 left-down x=736 y=1258 wordForeground=False
2026-09-06T10:54:58.6003844+08:00 pid=27256 tid=12 left-down x=2120 y=899 wordForeground=False
2026-09-06T10:54:59.0319561+08:00 pid=27256 tid=12 left-down x=1190 y=747 wordForeground=False
2026-09-06T10:55:14.0900149+08:00 pid=27256 tid=12 left-down x=2024 y=1163 wordForeground=True
2026-09-06T10:56:55.7855394+08:00 pid=27256 tid=12 left-down x=1190 y=747 wordForeground=False
2026-09-06T10:57:10.1067483+08:00 pid=27256 tid=12 left-down x=2024 y=1163 wordForeground=True
2026-09-06T10:58:01.0029268+08:00 pid=27256 tid=12 left-down x=1140 y=1210 wordForeground=True
2026-09-06T10:58:01.6771032+08:00 pid=27256 tid=12 left-down x=1140 y=1210 wordForeground=True
2026-09-06T10:59:31.9720159+08:00 pid=27256 tid=12 left-down x=846 y=1203 wordForeground=False
2026-09-06T10:59:35.0256992+08:00 pid=27256 tid=12 left-down x=2211 y=1232 wordForeground=True
2026-09-06T10:59:37.7067903+08:00 pid=27256 tid=12 left-down x=1718 y=1090 wordForeground=True
2026-09-06T10:59:38.9019057+08:00 pid=27256 tid=12 left-down x=1634 y=1069 wordForeground=True
2026-09-06T10:59:43.3788146+08:00 pid=27256 tid=12 left-down x=1838 y=818 wordForeground=True
