2026-09-06T14:53:34.9514985+08:00 pid=69024 tid=11 left-down x=2492 y=460 wordForeground=False
2026-09-06T14:55:35.3023643+08:00 pid=69024 tid=11 left-down x=2024 y=1187 wordForeground=True
2026-09-06T14:59:39.7912473+08:00 pid=69024 tid=11 left-down x=1776 y=1270 wordForeground=False
2026-09-06T15:07:01.1752774+08:00 pid=69024 tid=11 left-down x=1140 y=1245 wordForeground=True
2026-09-06T15:07:01.6221565+08:00 pid=69024 tid=11 left-down x=1140 y=1245 wordForeground=True
2026-09-06T15:07:01.6243090+08:00 pid=69024 tid=11 double-click elapsedMs=447.017 withinX=True withinY=True nativeOleTarget=False suppressSecondDown=False dispatchCallback=True
2026-09-06T15:07:01.7183092+08:00 pid=69024 tid=5 callback-begin interceptedNativeOle=False x=1140 y=1245
2026-09-06T15:07:01.7191730+08:00 pid=69024 tid=5 addin-callback-received interceptedNativeOle=False x=1140 y=1245
2026-09-06T15:07:01.7216877+08:00 pid=69024 tid=5 callback-end
2026-09-06T15:07:01.7506876+08:00 pid=69024 tid=1 addin-coordinate-selection formulaId=<null> objectMode=<null>
2026-09-06T15:09:35.1563724+08:00 pid=69024 tid=11 left-down x=1776 y=1270 wordForeground=False
2026-09-06T15:21:10.3503239+08:00 pid=69024 tid=11 left-down x=1838 y=688 wordForeground=True
2026-09-06T15:21:34.7726556+08:00 pid=69024 tid=11 left-down x=1382 y=1120 wordForeground=False
2026-09-06T15:21:37.5513692+08:00 pid=69024 tid=11 left-down x=2332 y=460 wordForeground=False
2026-09-06T15:21:39.9677600+08:00 pid=69024 tid=11 left-down x=2492 y=460 wordForeground=False
2026-09-06T15:22:32.1705449+08:00 pid=69024 tid=11 left-down x=2024 y=1187 wordForeground=True
2026-09-06T15:26:36.3537183+08:00 pid=69024 tid=11 left-down x=1140 y=1088 wordForeground=True
2026-09-06T15:26:37.0105377+08:00 pid=69024 tid=11 left-down x=1140 y=1088 wordForeground=True
2026-09-06T15:27:08.7752650+08:00 pid=69024 tid=11 left-down x=1838 y=688 wordForeground=True
2026-09-06T15:27:51.2714377+08:00 pid=69024 tid=11 left-down x=1382 y=1120 wordForeground=False
2026-09-06T15:27:54.2231952+08:00 pid=69024 tid=11 left-down x=2332 y=460 wordForeground=False
2026-09-06T15:27:56.4580613+08:00 pid=69024 tid=11 left-down x=2492 y=460 wordForeground=False
2026-09-06T15:29:56.8620049+08:00 pid=69024 tid=11 left-down x=1776 y=1270 wordForeground=False
2026-09-06T15:30:42.9437711+08:00 pid=69024 tid=11 left-down x=2024 y=1187 wordForeground=True
2026-09-06T15:31:48.1749407+08:00 pid=69024 tid=11 left-down x=698 y=1234 wordForeground=False
2026-09-06T15:31:52.0188180+08:00 pid=69024 tid=11 left-down x=1685 y=1610 wordForeground=True
2026-09-06T15:33:02.9413810+08:00 pid=69024 tid=11 left-down x=1838 y=860 wordForeground=True
2026-09-06T15:33:48.0339988+08:00 pid=69024 tid=11 left-down x=219 y=1479 wordForeground=False
2026-09-06T15:33:54.3488692+08:00 pid=69024 tid=11 left-down x=1323 y=1598 wordForeground=False
2026-09-06T15:35:00.1572315+08:00 pid=69024 tid=11 left-down x=1170 y=1088 wordForeground=True
2026-09-06T15:35:00.8315134+08:00 pid=69024 tid=11 left-down x=1170 y=1088 wordForeground=True
2026-09-06T15:35:43.1148721+08:00 pid=69024 tid=11 left-down x=837 y=1166 wordForeground=False
2026-09-06T15:35:59.8070216+08:00 pid=69024 tid=11 left-down x=2078 y=1366 wordForeground=True
2026-09-06T15:37:04.9638489+08:00 pid=69024 tid=11 left-down x=1776 y=1270 wordForeground=False
2026-09-06T15:46:36.7166248+08:00 pid=69024 tid=11 left-down x=1838 y=688 wordForeground=True
2026-09-06T15:46:45.4894934+08:00 pid=69024 tid=11 left-down x=1382 y=1120 wordForeground=False
2026-09-06T15:46:48.6124381+08:00 pid=69024 tid=11 left-down x=2332 y=460 wordForeground=False
2026-09-06T15:46:50.7393335+08:00 pid=69024 tid=11 left-down x=2492 y=460 wordForeground=False
2026-09-06T15:49:12.5645936+08:00 pid=69024 tid=11 left-down x=1776 y=1270 wordForeground=False
2026-09-06T15:50:00.5815773+08:00 pid=69024 tid=11 left-down x=2024 y=1187 wordForeground=True
2026-09-06T15:50:09.6245072+08:00 pid=69024 tid=11 left-down x=1838 y=860 wordForeground=True
2026-09-06T15:54:09.0094074+08:00 pid=69024 tid=11 left-down x=1170 y=1118 wordForeground=True
2026-09-06T15:54:09.7376923+08:00 pid=69024 tid=11 left-down x=1170 y=1118 wordForeground=True
2026-09-06T15:54:20.2287858+08:00 pid=69024 tid=11 left-down x=1776 y=1270 wordForeground=False
2026-09-06T15:55:18.9024174+08:00 pid=69024 tid=11 left-down x=758 y=1250 wordForeground=False
2026-09-06T15:55:44.6442485+08:00 pid=69024 tid=11 left-down x=820 y=1253 wordForeground=False
2026-09-06T15:55:56.4894288+08:00 pid=69024 tid=11 left-down x=2051 y=1093 wordForeground=True
2026-09-06T15:57:04.4491523+08:00 pid=69024 tid=11 left-down x=763 y=1216 wordForeground=False
2026-09-06T15:57:06.7576693+08:00 pid=69024 tid=11 left-down x=2028 y=1110 wordForeground=True
2026-09-06T15:57:09.7176859+08:00 pid=69024 tid=11 left-down x=770 y=1090 wordForeground=False
2026-09-06T15:57:11.4735802+08:00 pid=69024 tid=11 left-down x=618 y=1046 wordForeground=False
2026-09-06T15:57:15.4223635+08:00 pid=69024 tid=11 left-down x=1892 y=402 wordForeground=False
2026-09-06T15:57:20.3885651+08:00 pid=69024 tid=11 left-down x=1965 y=1091 wordForeground=True
2026-09-06T15:57:23.8852716+08:00 pid=69024 tid=11 left-down x=717 y=1085 wordForeground=False
2026-09-06T15:57:26.0844164+08:00 pid=69024 tid=11 left-down x=620 y=1012 wordForeground=False
2026-09-06T15:57:28.8554952+08:00 pid=69024 tid=11 left-down x=1896 y=398 wordForeground=False
2026-09-06T15:57:33.5506027+08:00 pid=69024 tid=11 left-down x=1979 y=1077 wordForeground=True
2026-09-06T16:04:19.2013929+08:00 pid=69024 tid=11 left-down x=153 y=1448 wordForeground=False
2026-09-06T16:04:22.4139783+08:00 pid=69024 tid=11 left-down x=963 y=1227 wordForeground=False
2026-09-06T16:05:05.1065762+08:00 pid=69024 tid=11 left-down x=1838 y=688 wordForeground=True
2026-09-06T16:05:13.7316226+08:00 pid=69024 tid=11 left-down x=1382 y=1120 wordForeground=False
2026-09-06T16:05:16.5734807+08:00 pid=69024 tid=11 left-down x=2332 y=460 wordForeground=False
2026-09-06T16:05:19.0774582+08:00 pid=69024 tid=11 left-down x=2492 y=460 wordForeground=False
2026-09-06T16:06:52.0825702+08:00 pid=69024 tid=11 left-down x=1776 y=1270 wordForeground=False
2026-09-06T16:07:59.7888931+08:00 pid=69024 tid=11 left-down x=2024 y=1187 wordForeground=True
2026-09-06T16:08:20.5933473+08:00 pid=69024 tid=11 left-down x=1838 y=860 wordForeground=True
2026-09-06T16:12:07.8203740+08:00 pid=69024 tid=11 left-down x=1776 y=1270 wordForeground=False
2026-09-06T16:15:15.5495320+08:00 pid=69024 tid=11 left-down x=772 y=1266 wordForeground=False
2026-09-06T16:15:24.5864262+08:00 pid=69024 tid=11 left-down x=1844 y=1725 wordForeground=True
2026-09-06T16:18:11.3335134+08:00 pid=69024 tid=11 left-down x=1776 y=1270 wordForeground=False
2026-09-06T16:26:33.5859916+08:00 pid=69024 tid=11 left-down x=1382 y=1120 wordForeground=False
2026-09-06T16:26:36.2980229+08:00 pid=69024 tid=11 left-down x=2332 y=460 wordForeground=False
2026-09-06T16:26:38.5417413+08:00 pid=69024 tid=11 left-down x=2492 y=460 wordForeground=False
2026-09-06T16:27:40.9000316+08:00 pid=69024 tid=11 left-down x=713 y=1227 wordForeground=False
2026-09-06T16:27:46.6867169+08:00 pid=69024 tid=11 left-down x=1874 y=1436 wordForeground=True
2026-09-06T16:27:57.2343558+08:00 pid=69024 tid=11 left-down x=700 y=1238 wordForeground=False
2026-09-06T16:28:02.4470284+08:00 pid=69024 tid=11 left-down x=1742 y=1814 wordForeground=True
2026-09-06T16:28:19.7172037+08:00 pid=69024 tid=11 left-down x=2024 y=1187 wordForeground=True
2026-09-06T16:29:39.6810195+08:00 pid=69024 tid=11 left-down x=1172 y=1836 wordForeground=True
2026-09-06T16:29:40.3030006+08:00 pid=69024 tid=11 left-down x=1172 y=1836 wordForeground=True
2026-09-06T16:30:24.4662010+08:00 pid=69024 tid=11 left-down x=739 y=1231 wordForeground=False
2026-09-06T16:30:35.6627684+08:00 pid=69024 tid=11 left-down x=1776 y=1270 wordForeground=False
2026-09-06T16:40:50.0927346+08:00 pid=69024 tid=11 left-down x=1382 y=1120 wordForeground=False
