2026-09-06T17:09:57.5346548+08:00 pid=100856 [perf] ConvertedOmmlBatch.true-display-native-ensure-table: +70ms (3605ms)
2026-09-06T17:09:57.5376545+08:00 pid=100856 [perf] ConvertedOmmlBatch.true-display-native-resolve-table-formula: +2ms (3607ms)
2026-09-06T17:09:57.5376545+08:00 pid=100856 [perf] ConvertedOmmlBatch.true-display-native-height-repair: +0ms (3607ms)
2026-09-06T17:09:57.8014487+08:00 pid=100856 [perf] ConvertedOmmlBatch.true-display-native-geometry: +264ms (3871ms)
2026-09-06T17:09:57.8014487+08:00 pid=100856 [perf] ConvertedOmmlBatch.true-display-native-1x3-table: +0ms (3871ms)
2026-09-06T17:09:57.8024489+08:00 pid=100856 [perf] ConvertedOmmlBatch.true-display-direct-number-plan: +1ms (3872ms)
2026-09-06T17:09:58.3060532+08:00 pid=100856 [perf] ConvertedOmmlBatch.true-display-direct-visible-seq: +504ms (4376ms)
2026-09-06T17:09:58.4369001+08:00 pid=100856 [perf] ConvertedOmmlBatch.true-display-native-post-table-spacing: +130ms (4506ms)
2026-09-06T17:09:58.5560434+08:00 pid=100856 [perf] ConvertedOmmlBatch.true-display-native-wrap-identity: +120ms (4626ms)
2026-09-06T17:09:58.5570408+08:00 pid=100856 [perf] ConvertedOmmlBatch.true-display-host: +1ms (4627ms)
2026-09-06T17:09:58.7719135+08:00 pid=100856 [perf] ConvertedOmmlBatch.repair-identity: +215ms (4842ms)
2026-09-06T17:09:59.0622026+08:00 pid=100856 [perf] ConvertedOmmlBatch.locate-target: +290ms (5132ms)
2026-09-06T17:09:59.0731997+08:00 pid=100856 [perf] ConvertedOmmlBatch.true-display-native-resolve-display: +11ms (5143ms)
2026-09-06T17:09:59.1241493+08:00 pid=100856 [perf] ConvertedOmmlBatch.true-display-native-clear-artifacts: +51ms (5194ms)
2026-09-06T17:09:59.3721741+08:00 pid=100856 [perf] ConvertedOmmlBatch.true-display-native-measure-display: +247ms (5441ms)
2026-09-06T17:09:59.4571713+08:00 pid=100856 [perf] ConvertedOmmlBatch.true-display-native-ensure-table: +86ms (5527ms)
2026-09-06T17:09:59.4601712+08:00 pid=100856 [perf] ConvertedOmmlBatch.true-display-native-resolve-table-formula: +3ms (5530ms)
2026-09-06T17:09:59.4611708+08:00 pid=100856 [perf] ConvertedOmmlBatch.true-display-native-height-repair: +0ms (5530ms)
2026-09-06T17:09:59.7761070+08:00 pid=100856 [perf] ConvertedOmmlBatch.true-display-native-geometry: +316ms (5846ms)
2026-09-06T17:09:59.7771068+08:00 pid=100856 [perf] ConvertedOmmlBatch.true-display-native-1x3-table: +0ms (5846ms)
2026-09-06T17:09:59.7771068+08:00 pid=100856 [perf] ConvertedOmmlBatch.true-display-direct-number-plan: +1ms (5847ms)
2026-09-06T17:10:00.3125397+08:00 pid=100856 [perf] ConvertedOmmlBatch.true-display-direct-visible-seq: +535ms (6382ms)
2026-09-06T17:10:00.4499082+08:00 pid=100856 [perf] ConvertedOmmlBatch.true-display-native-post-table-spacing: +138ms (6520ms)
2026-09-06T17:10:00.5680181+08:00 pid=100856 [perf] ConvertedOmmlBatch.true-display-native-wrap-identity: +118ms (6638ms)
2026-09-06T17:10:00.5690181+08:00 pid=100856 [perf] ConvertedOmmlBatch.true-display-host: +0ms (6638ms)
2026-09-06T17:10:00.9591860+08:00 pid=100856 [perf] ConvertedOmmlBatch.repair-identity: +390ms (7028ms)
2026-09-06T17:10:01.3127636+08:00 pid=100856 [perf] ConvertedOmmlBatch.locate-target: +354ms (7382ms)
2026-09-06T17:10:01.3157647+08:00 pid=100856 [perf] ConvertedOmmlBatch.true-display-native-resolve-display: +3ms (7385ms)
2026-09-06T17:10:01.3527633+08:00 pid=100856 [perf] ConvertedOmmlBatch.true-display-native-clear-artifacts: +37ms (7422ms)
2026-09-06T17:10:01.5350532+08:00 pid=100856 [perf] ConvertedOmmlBatch.true-display-native-measure-display: +182ms (7604ms)
2026-09-06T17:10:01.5947175+08:00 pid=100856 [perf] ConvertedOmmlBatch.true-display-native-ensure-table: +60ms (7664ms)
2026-09-06T17:10:01.6007167+08:00 pid=100856 [perf] ConvertedOmmlBatch.true-display-native-resolve-table-formula: +6ms (7670ms)
2026-09-06T17:10:01.6007167+08:00 pid=100856 [perf] ConvertedOmmlBatch.true-display-native-height-repair: +1ms (7671ms)
2026-09-06T17:10:01.8678946+08:00 pid=100856 [perf] ConvertedOmmlBatch.true-display-native-geometry: +266ms (7937ms)
2026-09-06T17:10:01.8678946+08:00 pid=100856 [perf] ConvertedOmmlBatch.true-display-native-1x3-table: +0ms (7937ms)
2026-09-06T17:10:01.8678946+08:00 pid=100856 [perf] ConvertedOmmlBatch.true-display-direct-number-plan: +1ms (7938ms)
2026-09-06T17:10:02.3822807+08:00 pid=100856 [perf] ConvertedOmmlBatch.true-display-direct-visible-seq: +514ms (8452ms)
2026-09-06T17:10:02.5096493+08:00 pid=100856 [perf] ConvertedOmmlBatch.true-display-native-post-table-spacing: +127ms (8579ms)
2026-09-06T17:10:02.6172637+08:00 pid=100856 [perf] ConvertedOmmlBatch.true-display-native-wrap-identity: +108ms (8687ms)
2026-09-06T17:10:02.6182616+08:00 pid=100856 [perf] ConvertedOmmlBatch.true-display-host: +1ms (8688ms)
2026-09-06T17:10:02.7700311+08:00 pid=100856 [perf] ConvertedOmmlBatch.repair-identity: +152ms (8840ms)
2026-09-06T17:10:03.0006922+08:00 pid=100856 [perf] ConvertedOmmlBatch.locate-target: +230ms (9070ms)
2026-09-06T17:10:03.0096911+08:00 pid=100856 [perf] ConvertedOmmlBatch.true-display-native-resolve-display: +9ms (9079ms)
2026-09-06T17:10:03.0503590+08:00 pid=100856 [perf] ConvertedOmmlBatch.true-display-native-clear-artifacts: +41ms (9120ms)
2026-09-06T17:10:03.2460621+08:00 pid=100856 [perf] ConvertedOmmlBatch.true-display-native-measure-display: +195ms (9315ms)
2026-09-06T17:10:03.3048751+08:00 pid=100856 [perf] ConvertedOmmlBatch.true-display-native-ensure-table: +59ms (9374ms)
2026-09-06T17:10:03.3072585+08:00 pid=100856 [perf] ConvertedOmmlBatch.true-display-native-resolve-table-formula: +3ms (9377ms)
2026-09-06T17:10:03.3072585+08:00 pid=100856 [perf] ConvertedOmmlBatch.true-display-native-height-repair: +0ms (9377ms)
2026-09-06T17:10:03.5741518+08:00 pid=100856 [perf] ConvertedOmmlBatch.true-display-native-geometry: +267ms (9644ms)
2026-09-06T17:10:03.5741518+08:00 pid=100856 [perf] ConvertedOmmlBatch.true-display-native-1x3-table: +0ms (9644ms)
2026-09-06T17:10:03.5751519+08:00 pid=100856 [perf] ConvertedOmmlBatch.true-display-direct-number-plan: +0ms (9644ms)
2026-09-06T17:10:04.0909154+08:00 pid=100856 [perf] ConvertedOmmlBatch.true-display-direct-visible-seq: +517ms (10161ms)
2026-09-06T17:10:04.2038650+08:00 pid=100856 [perf] ConvertedOmmlBatch.true-display-native-wrap-identity: +112ms (10273ms)
2026-09-06T17:10:04.2043722+08:00 pid=100856 [perf] ConvertedOmmlBatch.true-display-host: +1ms (10274ms)
2026-09-06T17:10:04.3674610+08:00 pid=100856 [perf] ConvertedOmmlBatch.repair-identity: +163ms (10437ms)
2026-09-06T17:14:22.2590195+08:00 pid=100856 [perf] update-numbers.health-fail reason=bookmark-id-set-mismatch visible=5/5[1678da3f-48a1-4756-aff0-1df2f919c6e1,211b3d4b-f0dd-4dea-add5-2267047877cb,b9745ab9-6e63-454a-8d5a-0202003fc436,b58855c1-5a3e-481a-b925-26cb37818072,6ebc7ffc-ef13-483b-a7c0-f216d609d135] caption=5/5[1678da3f-48a1-4756-aff0-1df2f919c6e1,211b3d4b-f0dd-4dea-add5-2267047877cb,b9745ab9-6e63-454a-8d5a-0202003fc436,b58855c1-5a3e-481a-b925-26cb37818072,6ebc7ffc-ef13-483b-a7c0-f216d609d135] number=6/6[1678da3f-48a1-4756-aff0-1df2f919c6e1,211b3d4b-f0dd-4dea-add5-2267047877cb,39892f72-66de-4b0b-b174-644a84812471,b9745ab9-6e63-454a-8d5a-0202003fc436,b58855c1-5a3e-481a-b925-26cb37818072,6ebc7ffc-ef13-483b-a7c0-f216d609d135]
2026-09-06T17:14:22.2720196+08:00 pid=100856 [perf] number-format-batch.plan: +0ms (0ms)
2026-09-06T17:14:23.8125985+08:00 pid=100856 [perf] number-format-batch.direct-table-targets: +1541ms (1541ms)
2026-09-06T17:14:23.8155989+08:00 pid=100856 [perf] number-format-batch.native-hash-inventory: +3ms (1544ms)
2026-09-06T17:14:23.8155989+08:00 pid=100856 [perf] number-format-batch.native-breakdown lookup=0ms code=0ms update=0ms prefix=0ms bookmark=0ms
2026-09-06T17:14:23.8155989+08:00 pid=100856 [perf] number-format-batch.legacy-targets: +0ms (1544ms)
2026-09-06T17:14:23.8165995+08:00 pid=100856 [perf] number-format-batch.native-hash-targets: +1ms (1545ms)
2026-09-06T17:14:23.8165995+08:00 pid=100856 [perf] number-format-batch.visible-references: +0ms (1545ms)
2026-09-06T17:14:23.9805986+08:00 pid=100856 [perf] update-numbers.health-fail reason=bookmark-id-set-mismatch visible=5/5[1678da3f-48a1-4756-aff0-1df2f919c6e1,211b3d4b-f0dd-4dea-add5-2267047877cb,b9745ab9-6e63-454a-8d5a-0202003fc436,b58855c1-5a3e-481a-b925-26cb37818072,6ebc7ffc-ef13-483b-a7c0-f216d609d135] caption=5/5[1678da3f-48a1-4756-aff0-1df2f919c6e1,211b3d4b-f0dd-4dea-add5-2267047877cb,b9745ab9-6e63-454a-8d5a-0202003fc436,b58855c1-5a3e-481a-b925-26cb37818072,6ebc7ffc-ef13-483b-a7c0-f216d609d135] number=6/6[1678da3f-48a1-4756-aff0-1df2f919c6e1,39892f72-66de-4b0b-b174-644a84812471,211b3d4b-f0dd-4dea-add5-2267047877cb,b9745ab9-6e63-454a-8d5a-0202003fc436,b58855c1-5a3e-481a-b925-26cb37818072,6ebc7ffc-ef13-483b-a7c0-f216d609d135]
2026-09-06T17:14:24.2329455+08:00 pid=100856 [perf] number-format-batch.extra-references: +417ms (1962ms)
2026-09-06T17:16:29.1834989+08:00 pid=100856 [perf] update-numbers.health-fail reason=bookmark-id-set-mismatch visible=5/5[1678da3f-48a1-4756-aff0-1df2f919c6e1,211b3d4b-f0dd-4dea-add5-2267047877cb,b9745ab9-6e63-454a-8d5a-0202003fc436,b58855c1-5a3e-481a-b925-26cb37818072,6ebc7ffc-ef13-483b-a7c0-f216d609d135] caption=5/5[1678da3f-48a1-4756-aff0-1df2f919c6e1,211b3d4b-f0dd-4dea-add5-2267047877cb,b9745ab9-6e63-454a-8d5a-0202003fc436,b58855c1-5a3e-481a-b925-26cb37818072,6ebc7ffc-ef13-483b-a7c0-f216d609d135] number=6/6[1678da3f-48a1-4756-aff0-1df2f919c6e1,39892f72-66de-4b0b-b174-644a84812471,211b3d4b-f0dd-4dea-add5-2267047877cb,b9745ab9-6e63-454a-8d5a-0202003fc436,b58855c1-5a3e-481a-b925-26cb37818072,6ebc7ffc-ef13-483b-a7c0-f216d609d135]
