2026-09-06T17:47:55.2466704+08:00 pid=75316 tid=12 left-down x=2332 y=460 wordForeground=False
2026-09-06T17:47:57.9015756+08:00 pid=75316 tid=12 left-down x=2492 y=460 wordForeground=False
2026-09-06T17:48:43.2222458+08:00 pid=75316 tid=12 left-down x=1776 y=1270 wordForeground=False
2026-09-06T17:48:58.6313609+08:00 pid=75316 tid=12 left-down x=2024 y=1187 wordForeground=True
2026-09-06T17:50:38.3446039+08:00 pid=75316 tid=12 left-down x=836 y=1237 wordForeground=False
2026-09-06T17:50:42.4705499+08:00 pid=75316 tid=12 left-down x=2059 y=1068 wordForeground=True
2026-09-06T17:51:47.7161123+08:00 pid=75316 tid=12 left-down x=607 y=1205 wordForeground=False
2026-09-06T17:51:51.1492048+08:00 pid=75316 tid=12 left-down x=1466 y=1103 wordForeground=False
2026-09-06T17:54:22.6397607+08:00 pid=75316 tid=12 left-down x=1382 y=1120 wordForeground=False
2026-09-06T17:54:25.9835074+08:00 pid=75316 tid=12 left-down x=2332 y=460 wordForeground=False
2026-09-06T17:54:28.6897701+08:00 pid=75316 tid=12 left-down x=2492 y=460 wordForeground=False
2026-09-06T17:55:23.3658301+08:00 pid=75316 tid=12 left-down x=1776 y=1270 wordForeground=False
2026-09-06T17:55:38.9786291+08:00 pid=75316 tid=12 left-down x=2024 y=1211 wordForeground=True
2026-09-06T17:56:59.7688697+08:00 pid=75316 tid=12 left-down x=808 y=1255 wordForeground=False
2026-09-06T17:57:08.7762461+08:00 pid=75316 tid=12 left-down x=1866 y=1723 wordForeground=True
2026-09-06T17:57:18.5658324+08:00 pid=75316 tid=12 left-down x=1905 y=1516 wordForeground=True
2026-09-06T17:58:42.5737857+08:00 pid=75316 tid=12 left-down x=1948 y=1269 wordForeground=True
2026-09-06T17:58:46.3300048+08:00 pid=75316 tid=12 left-down x=1778 y=1476 wordForeground=True
2026-09-06T17:58:50.2001785+08:00 pid=75316 tid=12 left-down x=1141 y=1482 wordForeground=True
2026-09-06T17:58:50.9757653+08:00 pid=75316 tid=12 left-down x=1141 y=1482 wordForeground=True
2026-09-06T17:59:17.6786103+08:00 pid=75316 tid=12 left-down x=1776 y=1270 wordForeground=False
2026-09-06T18:00:00.8898047+08:00 pid=75316 tid=12 left-down x=853 y=1268 wordForeground=False
2026-09-06T18:00:04.2926637+08:00 pid=75316 tid=12 left-down x=2132 y=1445 wordForeground=True
2026-09-06T18:02:52.5091470+08:00 pid=75316 tid=12 left-down x=705 y=1242 wordForeground=False
2026-09-06T18:02:57.1383563+08:00 pid=75316 tid=12 left-down x=2064 y=1539 wordForeground=True
2026-09-06T18:03:22.3212679+08:00 pid=75316 tid=12 left-down x=1776 y=1270 wordForeground=False
2026-09-06T18:08:47.0950253+08:00 pid=75316 tid=12 left-down x=765 y=1027 wordForeground=False
2026-09-06T18:08:51.4241531+08:00 pid=75316 tid=12 left-down x=247 y=1478 wordForeground=False
2026-09-06T18:08:55.1254759+08:00 pid=75316 tid=12 left-down x=664 y=936 wordForeground=False
2026-09-06T18:08:59.0329905+08:00 pid=75316 tid=12 left-down x=1877 y=399 wordForeground=False
2026-09-06T18:11:20.7772881+08:00 pid=75316 tid=12 left-down x=822 y=1270 wordForeground=False
