2026-09-06T13:28:53.0591139+08:00 pid=27764 tid=12 left-down x=1317 y=747 wordForeground=False
2026-09-06T13:28:56.4185116+08:00 pid=27764 tid=12 left-down x=1792 y=747 wordForeground=False
2026-09-06T13:29:58.9373431+08:00 pid=27764 tid=12 left-down x=1317 y=747 wordForeground=False
2026-09-06T13:30:02.3918559+08:00 pid=27764 tid=12 left-down x=1792 y=747 wordForeground=False
2026-09-06T13:31:56.7933099+08:00 pid=27764 tid=12 left-down x=2024 y=1187 wordForeground=True
2026-09-06T13:33:21.5598384+08:00 pid=27764 tid=12 left-down x=895 y=904 wordForeground=False
2026-09-06T13:34:33.7055504+08:00 pid=27764 tid=12 left-down x=1838 y=860 wordForeground=True
2026-09-06T13:35:08.9454143+08:00 pid=27764 tid=12 left-down x=766 y=1265 wordForeground=False
2026-09-06T13:40:46.3003618+08:00 pid=27764 tid=12 left-down x=1317 y=747 wordForeground=False
2026-09-06T13:40:49.7310802+08:00 pid=27764 tid=12 left-down x=1792 y=747 wordForeground=False
2026-09-06T13:41:58.1478103+08:00 pid=27764 tid=12 left-down x=1317 y=747 wordForeground=False
2026-09-06T13:42:01.4575158+08:00 pid=27764 tid=12 left-down x=1792 y=747 wordForeground=False
2026-09-06T13:43:10.6019219+08:00 pid=27764 tid=12 left-down x=2024 y=1187 wordForeground=True
2026-09-06T13:51:23.2947359+08:00 pid=27764 tid=12 left-down x=1172 y=1508 wordForeground=True
2026-09-06T13:51:23.9643809+08:00 pid=27764 tid=12 left-down x=1172 y=1508 wordForeground=True
2026-09-06T13:52:14.6084895+08:00 pid=27764 tid=12 left-down x=1172 y=1088 wordForeground=True
2026-09-06T13:52:15.3167556+08:00 pid=27764 tid=12 left-down x=1172 y=1088 wordForeground=True
2026-09-06T13:56:10.8270953+08:00 pid=27764 tid=12 left-down x=1317 y=747 wordForeground=False
2026-09-06T13:56:14.1333199+08:00 pid=27764 tid=12 left-down x=1792 y=747 wordForeground=False
2026-09-06T13:57:06.4748831+08:00 pid=27764 tid=12 left-down x=1317 y=747 wordForeground=False
2026-09-06T13:57:09.9257827+08:00 pid=27764 tid=12 left-down x=1792 y=747 wordForeground=False
2026-09-06T13:58:06.3275138+08:00 pid=27764 tid=12 left-down x=2024 y=1187 wordForeground=True
2026-09-06T14:03:33.0795274+08:00 pid=27764 tid=12 left-down x=1317 y=747 wordForeground=False
2026-09-06T14:03:36.3197703+08:00 pid=27764 tid=12 left-down x=1792 y=747 wordForeground=False
2026-09-06T14:04:16.8345184+08:00 pid=27764 tid=12 left-down x=1317 y=747 wordForeground=False
2026-09-06T14:04:20.2634208+08:00 pid=27764 tid=12 left-down x=1792 y=747 wordForeground=False
2026-09-06T14:05:25.0861360+08:00 pid=27764 tid=12 left-down x=2024 y=1187 wordForeground=True
2026-09-06T14:07:17.2173625+08:00 pid=27764 tid=12 left-down x=1838 y=688 wordForeground=True
2026-09-06T14:08:16.8991569+08:00 pid=27764 tid=12 left-down x=1141 y=1508 wordForeground=True
2026-09-06T14:08:17.4825432+08:00 pid=27764 tid=12 left-down x=1141 y=1508 wordForeground=True
2026-09-06T14:13:46.9543141+08:00 pid=27764 tid=12 left-down x=1141 y=1508 wordForeground=True
2026-09-06T14:13:47.5076750+08:00 pid=27764 tid=12 left-down x=1141 y=1508 wordForeground=True
2026-09-06T14:16:20.6291058+08:00 pid=27764 tid=12 left-down x=1317 y=747 wordForeground=False
2026-09-06T14:16:23.9806288+08:00 pid=27764 tid=12 left-down x=1792 y=747 wordForeground=False
2026-09-06T14:17:35.6199566+08:00 pid=27764 tid=12 left-down x=1317 y=747 wordForeground=False
2026-09-06T14:17:39.1581785+08:00 pid=27764 tid=12 left-down x=1792 y=747 wordForeground=False
2026-09-06T14:18:31.6432111+08:00 pid=27764 tid=12 left-down x=2024 y=1187 wordForeground=True
2026-09-06T14:20:28.7154784+08:00 pid=27764 tid=12 left-down x=1838 y=860 wordForeground=True
2026-09-06T14:21:51.3826928+08:00 pid=27764 tid=12 left-down x=1172 y=1568 wordForeground=True
2026-09-06T14:21:51.9212631+08:00 pid=27764 tid=12 left-down x=1172 y=1568 wordForeground=True
2026-09-06T14:22:33.2431322+08:00 pid=27764 tid=12 left-down x=1382 y=1120 wordForeground=False
2026-09-06T14:22:35.6571709+08:00 pid=27764 tid=12 left-down x=2178 y=458 wordForeground=False
2026-09-06T14:22:38.2835567+08:00 pid=27764 tid=12 left-down x=2492 y=460 wordForeground=False
2026-09-06T14:30:54.9065324+08:00 pid=27764 tid=12 left-down x=1382 y=1120 wordForeground=False
2026-09-06T14:30:57.1660136+08:00 pid=27764 tid=12 left-down x=2178 y=458 wordForeground=False
2026-09-06T14:30:59.4626067+08:00 pid=27764 tid=12 left-down x=2492 y=460 wordForeground=False
2026-09-06T14:32:40.4798843+08:00 pid=27764 tid=12 left-down x=2332 y=460 wordForeground=False
2026-09-06T14:37:40.9809759+08:00 pid=27764 tid=12 left-down x=1382 y=1120 wordForeground=False
2026-09-06T14:37:43.5722829+08:00 pid=27764 tid=12 left-down x=2332 y=460 wordForeground=False
2026-09-06T14:37:45.9848116+08:00 pid=27764 tid=12 left-down x=2492 y=460 wordForeground=False
2026-09-06T14:39:06.7137668+08:00 pid=27764 tid=12 left-down x=2024 y=1259 wordForeground=True
2026-09-06T14:39:15.2975819+08:00 pid=27764 tid=12 left-down x=1838 y=688 wordForeground=True
2026-09-06T14:46:02.8581417+08:00 pid=27764 tid=12 left-down x=1838 y=860 wordForeground=True
2026-09-06T14:46:11.3314733+08:00 pid=27764 tid=12 left-down x=1382 y=1120 wordForeground=False
2026-09-06T14:47:27.9544248+08:00 pid=27764 tid=12 left-down x=2332 y=460 wordForeground=False
2026-09-06T14:47:30.7160384+08:00 pid=27764 tid=12 left-down x=2492 y=460 wordForeground=False
2026-09-06T14:48:35.9099303+08:00 pid=27764 tid=12 left-down x=2024 y=1259 wordForeground=True
2026-09-06T14:48:44.2561266+08:00 pid=27764 tid=12 left-down x=1838 y=688 wordForeground=True
2026-09-06T14:49:32.6011296+08:00 pid=27764 tid=12 left-down x=1136 y=1941 wordForeground=True
2026-09-06T14:49:33.2217771+08:00 pid=27764 tid=12 left-down x=1136 y=1941 wordForeground=True
2026-09-06T14:50:12.7513498+08:00 pid=27764 tid=12 left-down x=1838 y=860 wordForeground=True
2026-09-06T14:53:21.1474097+08:00 pid=27764 tid=12 left-down x=1838 y=688 wordForeground=True
2026-09-06T14:53:30.0027193+08:00 pid=27764 tid=12 left-down x=1382 y=1120 wordForeground=False
2026-09-06T14:53:32.7765432+08:00 pid=27764 tid=12 left-down x=2332 y=460 wordForeground=False
2026-09-06T14:53:35.1148299+08:00 pid=27764 tid=12 left-down x=2492 y=460 wordForeground=False
2026-09-06T14:55:35.4531565+08:00 pid=27764 tid=12 left-down x=2024 y=1187 wordForeground=True
2026-09-06T14:59:40.0256679+08:00 pid=27764 tid=12 left-down x=1776 y=1270 wordForeground=False
2026-09-06T15:07:01.4519240+08:00 pid=27764 tid=12 left-down x=1140 y=1245 wordForeground=True
2026-09-06T15:07:01.9429809+08:00 pid=27764 tid=12 left-down x=1140 y=1245 wordForeground=True
2026-09-06T15:07:01.9439788+08:00 pid=27764 tid=12 double-click elapsedMs=491.016 withinX=True withinY=True nativeOleTarget=False suppressSecondDown=False dispatchCallback=True
2026-09-06T15:07:02.0458991+08:00 pid=27764 tid=19 callback-begin interceptedNativeOle=False x=1140 y=1245
2026-09-06T15:07:02.0465983+08:00 pid=27764 tid=19 addin-callback-received interceptedNativeOle=False x=1140 y=1245
